SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-28-2022,Condo/Co-op,260 Caldecott Ln #207,Oakland,CA,94618,525000,1,1.0,Oakland,773,,1996,,679,526,Sold,,,https://www.redfin.com/CA/Oakland/260-Caldecott-Ln-94618/unit-207/home/629209,San Francisco MLS,422658421,N,Y,37.8585978,-122.2209817
PAST SALE,June-21-2022,Single Family Residential,31818 Trevor Ave,Hayward,CA,94544,1084500,3,2.0,El Rancho Verde,1327,7500,1955,,817,,Sold,,,https://www.redfin.com/CA/Hayward/31818-Trevor-Ave-94544/home/1575697,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40993116,N,Y,37.6164832,-122.0294269
PAST SALE,September-2-2022,Condo/Co-op,2211 5th St Unit B,Berkeley,CA,94710,1360000,2,2.0,Berkeley,1498,7619,2005,,908,965,Sold,,,https://www.redfin.com/CA/Berkeley/2211-Fifth-St-94710/unit-B/home/12352378,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41004871,N,Y,37.864693,-122.297458
PAST SALE,,Condo/Co-op,1312 Poe St,Berkeley,CA,94702,800000,2,1.0,,950,,1930,,842,,,,,https://www.redfin.com/CA/Berkeley/1312-Poe-St-94702/home/1467026,,,N,Y,37.864042,-122.285781
PAST SALE,June-14-2022,Single Family Residential,32145 Seneca St,Hayward,CA,94544,950000,3,2.0,Hayward,1031,5001,1951,,921,,Sold,,,https://www.redfin.com/CA/Hayward/32145-Seneca-St-94544/home/752840,MetroList,222057732,N,Y,37.6122051,-122.0312032
PAST SALE,June-13-2022,Multi-Family (2-4 Unit),1470 Highland Blvd,Hayward,CA,94542,1210000,4,3.0,Hayward,2366,17232,1947,,511,,Sold,,,https://www.redfin.com/CA/Hayward/1470-Highland-Blvd-94542/home/1180480,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40990130,N,Y,37.6649412,-122.0656121
PAST SALE,August-29-2022,Single Family Residential,39542 Benavente Pl,Fremont,CA,94539,2050000,4,2.5,FREMONT,1881,7665,1974,,1090,,Sold,,,https://www.redfin.com/CA/Fremont/39542-Benavente-Pl-94539/home/1104817,MLSListings,ML81898562,N,Y,37.5620842,-121.9529769
PAST SALE,June-30-2022,Single Family Residential,773 Los Alamos Ave,Livermore,CA,94550,1100000,4,2.0,Livermore,1463,6268,1964,,752,,Sold,,,https://www.redfin.com/CA/Livermore/773-Los-Alamos-Ave-94550/home/1968812,CRMLS,OC22099954,N,Y,37.6683784,-121.7884807
PAST SALE,,Condo/Co-op,MISSION BLVD,Hayward,CA,94544,689000,1,2.0,,1042,,2020,,661,,,,,https://www.redfin.com/CA/HAYWARD/MISSION-BLVD-94544/home/175928686,,,N,Y,37.632298,-122.051069
PAST SALE,September-2-2022,Condo/Co-op,508 SANDALWOOD Dr,Livermore,CA,94551,1025000,3,2.5,Livermore,1765,,2016,,581,360,Sold,,,https://www.redfin.com/CA/Livermore/508-Sandalwood-Dr-94551/home/143118023,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41000334,N,Y,37.7042734,-121.794498
PAST SALE,August-30-2022,Single Family Residential,723 Nightingale St,Livermore,CA,94551,908000,4,2.0,Northside,1125,6032,1965,,807,,Sold,,,https://www.redfin.com/CA/Livermore/723-Nightingale-St-94551/home/1687166,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41003988,N,Y,37.6862982,-121.7891482
PAST SALE,June-14-2022,Single Family Residential,627 Tina Way,Hayward,CA,94544,1000000,3,2.0,El Rancho Verde,1175,5000,1955,,851,,Sold,,,https://www.redfin.com/CA/Hayward/627-Tina-Way-94544/home/789728,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40992263,N,Y,37.6188241,-122.0324465
PAST SALE,June-16-2022,Single Family Residential,4235 Mabel Ave,Castro Valley,CA,94546,950000,2,1.0,CASTRO VALLEY,969,5130,1950,,980,,Sold,,,https://www.redfin.com/CA/Castro-Valley/4235-Mabel-Ave-94546/home/1967754,MLSListings,ML81892629,N,Y,37.7028964,-122.0708058
PAST SALE,June-16-2022,Single Family Residential,36720 Charles St,Newark,CA,94560,940000,3,2.0,NEWARK,1190,5700,1954,,790,,Sold,,,https://www.redfin.com/CA/Newark/36720-Charles-St-94560/home/861865,MLSListings,ML81887342,N,Y,37.5479373,-122.0245421
PAST SALE,June-13-2022,Single Family Residential,1480 Randy St,San Leandro,CA,94579,868000,3,1.5,Washington Manor,1166,5700,1955,,744,,Sold,,,https://www.redfin.com/CA/San-Leandro/1480-Randy-St-94579/home/734818,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40991470,N,Y,37.6810822,-122.1518749
PAST SALE,,Condo/Co-op,62 Peters Ave #4,Pleasanton,CA,94566,570000,1,1.0,,736,,1988,,774,,,,,https://www.redfin.com/CA/Pleasanton/62-Peters-Ave-94566/unit-4/home/1875918,,,N,Y,37.6593016,-121.8783623
PAST SALE,July-5-2022,Single Family Residential,4498 Bacon Ct,Pleasanton,CA,94588,1625000,4,2.0,Val Vista,1822,7455,1968,,892,,Sold,,,https://www.redfin.com/CA/Pleasanton/4498-Bacon-Ct-94588/home/1440559,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40993969,N,Y,37.6895267,-121.9063967
PAST SALE,July-12-2022,Townhouse,1560 Calle Del Rey,Livermore,CA,94551,970000,4,2.5,Portola Meadows,1964,3652,2000,,494,380,Sold,,,https://www.redfin.com/CA/Livermore/1560-Calle-Del-Rey-94551/home/1216107,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40993673,N,Y,37.6951026,-121.7797577
PAST SALE,August-10-2022,Single Family Residential,6131 Via De Los Cerros,Pleasanton,CA,94566,1728000,4,3.0,Country Fair,2420,4050,1989,,714,,Sold,,,https://www.redfin.com/CA/Pleasanton/6131-Via-de-los-Cerros-94566/home/1669305,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40994796,N,Y,37.6722746,-121.901951
PAST SALE,June-27-2022,Single Family Residential,3971 Mount Rainier Ct,Pleasanton,CA,94588,2045000,4,4.0,Valley Trails,3229,11183,1970,,633,,Sold,,,https://www.redfin.com/CA/Pleasanton/3971-Mt-Rainier-Ct-94588/home/1507882,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40995963,N,Y,37.6773025,-121.9114646
PAST SALE,August-9-2022,Condo/Co-op,1001 Murrieta Blvd #116,Livermore,CA,94550,349000,1,1.0,Murrieta,669,124864,1972,,522,438,Sold,,,https://www.redfin.com/CA/Livermore/1001-Murrieta-Blvd-94550/unit-116/home/875131,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40997981,N,Y,37.675701,-121.7843254
PAST SALE,July-20-2022,Single Family Residential,3607 Bernal Ave,Pleasanton,CA,94566,1620000,4,2.5,Kottinger Hgts,2562,12228,1987,,632,,Sold,,,https://www.redfin.com/CA/Pleasanton/3607-Bernal-Ave-94566/home/1759206,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40996966,N,Y,37.6602064,-121.8581068
PAST SALE,July-20-2022,Single Family Residential,4140 Grant Ct,Pleasanton,CA,94566,3500000,4,4.5,Kottinger Ranch,3849,15751,1993,,909,175,Sold,,,https://www.redfin.com/CA/Pleasanton/4140-Grant-Ct-94566/home/878235,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40995896,N,Y,37.6508041,-121.8540817
PAST SALE,July-28-2022,Single Family Residential,4029 Moselle Ct,Pleasanton,CA,94566,1710000,4,2.0,Vintage Hills,2079,7783,1966,,823,,Sold,,,https://www.redfin.com/CA/Pleasanton/4029-Moselle-Ct-94566/home/1669068,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40991505,N,Y,37.6580608,-121.8618204
PAST SALE,June-17-2022,Single Family Residential,337 Trenton Cir,Pleasanton,CA,94566,1615000,4,2.5,Ca Reflections,1620,3600,1994,,997,117,Sold,,,https://www.redfin.com/CA/Pleasanton/337-Trenton-Cir-94566/home/1028822,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40992376,N,Y,37.6677655,-121.8674463
PAST SALE,June-9-2022,Single Family Residential,789 Bonita Ave,Pleasanton,CA,94566,1780000,4,2.5,Downtown,2194,7242,1968,,811,,Sold,,,https://www.redfin.com/CA/Pleasanton/789-Bonita-Ave-94566/home/1407879,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40990281,N,Y,37.6562387,-121.863088
PAST SALE,July-29-2022,Single Family Residential,4092 MOSELLE Ct,Pleasanton,CA,94566,1455000,4,3.0,Kottinger Ranch,2028,7716,1966,,717,,Sold,,,https://www.redfin.com/CA/Pleasanton/4092-Moselle-Ct-94566/home/960902,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40999853,N,Y,37.6572841,-121.8613535
PAST SALE,June-7-2022,Townhouse,607 Palomino Dr Unit D,Pleasanton,CA,94566,775000,2,2.0,PLEASANTON,1198,1482,1985,,647,455,Sold,,,https://www.redfin.com/CA/Pleasanton/607-Palomino-Dr-94566/unit-D/home/1221638,MLSListings,ML81890588,N,Y,37.660906,-121.857267
PAST SALE,June-22-2022,Single Family Residential,814 Madeira Dr,Pleasanton,CA,94566,1448000,4,2.0,Vintage Hills,1549,7446,1972,,935,,Sold,,,https://www.redfin.com/CA/Pleasanton/814-Madeira-Dr-94566/home/1604383,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40991650,N,Y,37.6610511,-121.852058
